Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,IncomeCategory,AgeGroup
34.0,0,1,9.0,2,1,2,4.0,0,3.0,1,4.0,0,1,0,0.0,1,17979.0,1,1
32.0,1,1,6.0,2,1,3,3.0,1,4.0,0,2.0,0,3,0,0.0,2,21220.0,1,1
30.0,1,3,11.0,2,0,2,3.0,3,3.0,0,3.0,0,4,1,1.0,3,24419.0,1,1
39.0,1,3,9.0,3,1,3,4.0,3,4.0,3,2.0,0,4,1,2.0,3,26029.0,2,2
37.0,0,1,31.0,2,0,3,4.0,1,4.0,1,2.0,0,3,1,2.0,2,24352.0,1,2
34.0,1,1,9.0,2,1,3,4.0,0,3.0,2,2.0,0,3,0,2.0,1,21178.0,1,1
27.0,0,1,7.0,2,0,4,6.0,0,3.0,1,5.0,0,4,1,3.0,1,23042.0,1,1
30.0,1,3,6.0,2,1,3,4.0,1,5.0,1,2.0,0,4,1,1.0,2,24714.0,1,1
53.0,0,1,32.0,3,0,3,5.0,4,3.0,1,5.0,0,5,0,2.0,0,32504.0,2,3
55.0,0,1,7.0,2,0,3,4.0,3,3.0,1,2.0,0,5,1,2.0,3,29180.0,2,3
46.0,0,1,6.0,3,1,2,4.0,3,5.0,0,3.0,1,2,1,1.0,3,25673.0,2,3
39.0,0,1,19.0,2,1,2,5.0,1,5.0,1,4.0,0,5,1,1.0,2,24966.0,1,2
54.0,0,2,32.0,2,0,1,2.0,4,3.0,2,3.0,1,3,1,0.0,0,32328.0,2,3
42.0,1,1,19.0,3,1,3,1.0,1,5.0,1,6.0,0,4,1,0.0,2,20538.0,1,2
33.0,1,1,12.0,2,0,3,2.0,0,3.0,1,5.0,0,5,1,2.0,1,21990.0,1,1
35.0,1,1,6.0,3,1,1,4.0,0,3.0,2,2.0,0,4,1,0.0,1,17859.0,1,1
39.0,1,1,16.0,3,1,3,3.0,3,3.0,3,1.0,0,3,1,0.0,3,28464.0,2,2
29.0,1,1,17.0,2,0,3,4.0,1,3.0,3,5.0,0,4,1,2.0,2,22338.0,1,1
23.0,0,1,11.0,1,1,3,5.0,0,3.0,3,7.0,0,5,1,1.0,1,22572.0,1,0
37.0,0,1,15.0,3,1,2,3.0,0,3.0,0,2.0,1,2,0,0.0,1,17326.0,1,2
33.0,1,1,10.0,3,0,4,4.0,1,5.0,1,3.0,0,1,1,1.0,2,25403.0,2,1
